2020-11-24 06:16:49 [INFO]:    Epoch       Batch       box      conf        id     total  nTargets      time
================================================================================
dataset summary
OrderedDict([('mot17', 547.0)])
total # identities: 548
start index
OrderedDict([('mot17', 0)])
================================================================================
2020-11-24 06:26:05 [INFO]:     1/29     40/5315    0.0281       0.1      10.7     -6.18      20.3     0.085
2020-11-24 06:26:08 [INFO]:     1/29     80/5315    0.0286    0.0977      11.2     -6.14      20.7     0.102
2020-11-24 06:26:12 [INFO]:     1/29    120/5315    0.0277    0.0986      11.1     -6.22      21.6    0.0907
2020-11-24 06:26:16 [INFO]:     1/29    160/5315     0.028    0.0992        11     -6.22      20.5    0.0996
2020-11-24 06:26:20 [INFO]:     1/29    200/5315    0.0282     0.103      11.1     -6.18      20.5     0.102
2020-11-24 06:26:23 [INFO]:     1/29    240/5315     0.029     0.101      11.2     -6.14      20.1    0.0828
2020-11-24 06:26:27 [INFO]:     1/29    280/5315    0.0315    0.0993      11.2     -5.91      20.1    0.0821
2020-11-24 06:26:31 [INFO]:     1/29    320/5315    0.0309    0.0956        11        -6      20.3     0.118
2020-11-24 06:26:34 [INFO]:     1/29    360/5315    0.0306    0.0988        11        -6      20.3    0.0728
2020-11-24 06:26:38 [INFO]:     1/29    400/5315    0.0305    0.0993        11        -6      20.3    0.0807
2020-11-24 06:26:42 [INFO]:     1/29    440/5315    0.0303       0.1        11        -6      20.1    0.0772
2020-11-24 06:26:45 [INFO]:     1/29    480/5315    0.0302       0.1      10.9     -6.01      20.1    0.0896
2020-11-24 06:26:49 [INFO]:     1/29    520/5315    0.0301     0.101      10.9        -6      20.2    0.0813
2020-11-24 06:26:53 [INFO]:     1/29    560/5315    0.0298     0.103        11     -5.99      20.2    0.0795
2020-11-24 06:26:56 [INFO]:     1/29    600/5315    0.0296     0.102      10.9     -6.03      20.3    0.0751
2020-11-24 06:27:00 [INFO]:     1/29    640/5315    0.0294     0.101      10.9     -6.06      20.5     0.111
2020-11-24 06:27:04 [INFO]:     1/29    680/5315    0.0295     0.101      10.9     -6.05      20.4    0.0788
2020-11-24 06:27:07 [INFO]:     1/29    720/5315    0.0294     0.101      10.9     -6.04      20.5    0.0767
2020-11-24 06:27:11 [INFO]:     1/29    760/5315    0.0293    0.0995      10.9     -6.08      20.7    0.0754
2020-11-24 06:27:14 [INFO]:     1/29    800/5315     0.029     0.099      10.9     -6.11      20.6    0.0786
2020-11-24 06:27:18 [INFO]:     1/29    840/5315    0.0289    0.0985      10.9     -6.13      20.7     0.099
2020-11-24 06:27:22 [INFO]:     1/29    880/5315    0.0289    0.0987      10.9     -6.12      20.6    0.0759
2020-11-24 06:27:25 [INFO]:     1/29    920/5315    0.0287    0.0976      10.9     -6.16      20.7    0.0915
2020-11-24 06:27:29 [INFO]:     1/29    960/5315    0.0287    0.0972      10.9     -6.17      20.7     0.107
2020-11-24 06:27:32 [INFO]:     1/29   1000/5315    0.0287    0.0984      10.9     -6.14      20.7    0.0727
2020-11-24 06:27:36 [INFO]:     1/29   1040/5315    0.0286    0.0982      10.9     -6.16      20.7     0.107
2020-11-24 06:27:39 [INFO]:     1/29   1080/5315    0.0285    0.0984      10.9     -6.17      20.6    0.0918
2020-11-24 06:27:43 [INFO]:     1/29   1120/5315    0.0283    0.0981      10.8      -6.2      20.6    0.0723
2020-11-24 06:27:47 [INFO]:     1/29   1160/5315    0.0282    0.0986      10.8      -6.2      20.6    0.0807
2020-11-24 06:27:50 [INFO]:     1/29   1200/5315    0.0281    0.0979      10.8     -6.23      20.7     0.073
2020-11-24 06:27:54 [INFO]:     1/29   1240/5315    0.0281    0.0983      10.8     -6.22      20.6     0.104
2020-11-24 06:27:58 [INFO]:     1/29   1280/5315     0.028    0.0983      10.8     -6.22      20.6    0.0834
2020-11-24 06:28:02 [INFO]:     1/29   1320/5315     0.028     0.098      10.8     -6.22      20.6    0.0875
2020-11-24 06:28:05 [INFO]:     1/29   1360/5315     0.028    0.0983      10.8     -6.22      20.5    0.0787
2020-11-24 06:28:09 [INFO]:     1/29   1400/5315    0.0279    0.0981      10.8     -6.23      20.5     0.108
2020-11-24 06:28:12 [INFO]:     1/29   1440/5315    0.0278    0.0984      10.8     -6.24      20.6    0.0726
2020-11-24 06:28:16 [INFO]:     1/29   1480/5315    0.0277    0.0982      10.8     -6.25      20.6     0.076
2020-11-24 06:28:20 [INFO]:     1/29   1520/5315    0.0277    0.0978      10.7     -6.26      20.6     0.108
2020-11-24 06:28:23 [INFO]:     1/29   1560/5315    0.0277    0.0975      10.7     -6.28      20.5    0.0948
2020-11-24 06:28:27 [INFO]:     1/29   1600/5315    0.0276    0.0973      10.7     -6.28      20.5     0.074
2020-11-24 06:28:30 [INFO]:     1/29   1640/5315    0.0275    0.0971      10.7      -6.3      20.5    0.0757
2020-11-24 06:28:34 [INFO]:     1/29   1680/5315    0.0275    0.0967      10.7     -6.31      20.5    0.0818
2020-11-24 06:28:38 [INFO]:     1/29   1720/5315    0.0275    0.0969      10.7     -6.31      20.5    0.0766
2020-11-24 06:28:41 [INFO]:     1/29   1760/5315    0.0274     0.097      10.7     -6.31      20.4    0.0723
2020-11-24 06:28:45 [INFO]:     1/29   1800/5315    0.0274    0.0967      10.7     -6.32      20.4    0.0972
2020-11-24 06:28:48 [INFO]:     1/29   1840/5315    0.0274    0.0969      10.7     -6.32      20.3    0.0777
2020-11-24 06:28:52 [INFO]:     1/29   1880/5315    0.0273     0.097      10.7     -6.33      20.4    0.0757
2020-11-24 06:28:56 [INFO]:     1/29   1920/5315    0.0273     0.097      10.7     -6.33      20.3    0.0753
2020-11-24 06:28:59 [INFO]:     1/29   1960/5315    0.0273    0.0965      10.7     -6.34      20.3    0.0783
2020-11-24 06:29:03 [INFO]:     1/29   2000/5315    0.0273    0.0964      10.7     -6.34      20.3    0.0808
2020-11-24 06:29:06 [INFO]:     1/29   2040/5315    0.0274    0.0966      10.7     -6.33      20.3    0.0786
2020-11-24 06:29:10 [INFO]:     1/29   2080/5315    0.0274    0.0968      10.7     -6.33      20.2     0.095
2020-11-24 06:29:14 [INFO]:     1/29   2120/5315    0.0274    0.0967      10.7     -6.33      20.2    0.0799
2020-11-24 06:29:17 [INFO]:     1/29   2160/5315    0.0275    0.0966      10.7     -6.33      20.2    0.0799
2020-11-24 06:29:21 [INFO]:     1/29   2200/5315    0.0274    0.0962      10.6     -6.34      20.2    0.0766
2020-11-24 06:29:25 [INFO]:     1/29   2240/5315    0.0274    0.0962      10.6     -6.35      20.2    0.0787
2020-11-24 06:29:28 [INFO]:     1/29   2280/5315    0.0273    0.0959      10.6     -6.36      20.2    0.0764
2020-11-24 06:29:32 [INFO]:     1/29   2320/5315    0.0273    0.0954      10.6     -6.37      20.3    0.0769
2020-11-24 06:29:36 [INFO]:     1/29   2360/5315    0.0273    0.0954      10.6     -6.37      20.3    0.0851
2020-11-24 06:29:39 [INFO]:     1/29   2400/5315    0.0273    0.0955      10.6     -6.38      20.4    0.0917
2020-11-24 06:29:43 [INFO]:     1/29   2440/5315    0.0273    0.0957      10.6     -6.37      20.3    0.0697
2020-11-24 06:29:47 [INFO]:     1/29   2480/5315    0.0273    0.0954      10.6     -6.38      20.4    0.0978
2020-11-24 06:29:50 [INFO]:     1/29   2520/5315    0.0272    0.0953      10.6     -6.39      20.4     0.112
2020-11-24 06:29:54 [INFO]:     1/29   2560/5315    0.0273    0.0951      10.6     -6.38      20.4     0.101
2020-11-24 06:29:58 [INFO]:     1/29   2600/5315    0.0273    0.0954      10.6     -6.38      20.3    0.0741
2020-11-24 06:30:02 [INFO]:     1/29   2640/5315    0.0273    0.0956      10.6     -6.38      20.4     0.082
2020-11-24 06:30:05 [INFO]:     1/29   2680/5315    0.0273    0.0956      10.6     -6.38      20.4    0.0774
2020-11-24 06:30:09 [INFO]:     1/29   2720/5315    0.0272    0.0956      10.5     -6.39      20.4    0.0855
2020-11-24 06:30:13 [INFO]:     1/29   2760/5315    0.0272    0.0956      10.5     -6.39      20.4    0.0763
2020-11-24 06:30:16 [INFO]:     1/29   2800/5315    0.0272    0.0959      10.5     -6.39      20.3    0.0703
2020-11-24 06:30:20 [INFO]:     1/29   2840/5315    0.0272    0.0959      10.5     -6.39      20.2    0.0964
2020-11-24 06:30:24 [INFO]:     1/29   2880/5315    0.0272    0.0958      10.5     -6.39      20.2    0.0855
2020-11-24 06:30:27 [INFO]:     1/29   2920/5315    0.0272    0.0958      10.5      -6.4      20.2    0.0832
